gene_name	symbol	chrom	strand	len	reads	RPKM
NM_011985	Mmp23	chr4	-	1434	0	0.0
NM_011986	Ncdn	chr4	-	3701	251	6.57963047676
NM_011987	Pla2g10	chr16	-	1022	0	0.0
NM_011988	Slc27a3	chr3	-	2265	0	0.0
NM_011989	Slc27a4	chr2	+	4008	1050	25.4160732461
NM_146772	Olfr1189	chr2	+	921	0	0.0
NM_001009951	BC088983	chr8	-	1399	73	5.06234819064
NM_001081556	Ano3	chr2	-	2304	0	0.0
NM_001081557	Camta1	chr4	-	8448	12	0.137807929614
NM_001109045	Aqp8	chr7	+	1483	0	0.0
NM_001037922	Gm6531	chr8	+	2397	23	0.930907799878
NM_001037923	Lekr1	chr3	+	2463	1	0.0393896802469
NM_001037926	Gm13051	chr4	+	2833	81	2.77386494116
NM_001037927	Wdr93	chr7	+	2285	3	0.127374331442
NM_001109043	Zfp185	chrX	+	3554	0	0.0
NM_001037928	Gm11992	chr11	+	2400	4	0.161694637414
NM_001037929	Gm14092	chr2	-	1814	0	0.0
NM_019651	Ptpn9	chr9	+	4056	382	9.13718217337
NM_011676	Unc119	chr11	+	1281	282	21.3573244734
NM_011677	Ung	chr5	+	1906	70	3.56305077197
NM_011674	Ugt8a	chr3	-	3599	0	0.0
NM_011675	Uck1	chr2	-	1951	265	13.1775742433
NM_011672	Ufd1l	chr16	+	1996	404	19.6366633813
NM_011673	Ugcg	chr4	+	3719	2388	62.2952612224
NM_011670	Uchl1	chr5	+	1147	15	1.26874606515
NM_011671	Ucp2	chr7	+	4133	9793	229.877897536
NM_001109040	Kif21a	chr15	-	6439	0	0.0
NM_011678	Usp4	chr9	+	3668	975	25.7882668721
NR_027344	Trub2	chr2	-	2514	188	7.25503385054
NR_027343	Gorasp2	chr2	+	2484	908	35.463461539
NM_009239	Sp4	chr12	-	5770	1797	30.2147587624
NM_009238	Sox4	chr13	-	2953	0	0.0
NM_001166138	Armc8	chr9	-	3629	233	6.22896398744
NM_009233	Sox1	chr8	+	4037	0	0.0
NM_009231	Sos1	chr17	-	8919	617	6.71144240055
NM_009230	Soat1	chr1	-	4785	534	10.8269512701
NM_009237	Sox3	chrX	-	2065	0	0.0
NM_009236	Sox18	chr2	-	1619	1	0.059923892803
NM_009235	Sox15	chr11	+	1138	1	0.0852520056662
NM_009234	Sox11	chr12	-	8451	0	0.0
NM_001004061	Fam170a	chr18	+	1342	0	0.0
NM_001004062	Crtc1	chr8	-	5674	155	2.65026458926
NM_001004066	Zfp386	chr12	+	2065	446	20.9537457491
NM_001163564	Naf1	chr8	+	2990	93	3.01757885207
NM_001163565	Ptpn5	chr7	-	3024	103	3.30447374079
NM_001163566	Crb2	chr2	+	6372	0	0.0
NM_001163567	Fam102b	chr3	-	5702	213	3.62409236434
NM_001163569	Kif9	chr9	+	3162	4	0.122728377543
NM_001177709	Arfgap1	chr2	+	2442	266	10.5677576295
NM_001177708	Arfgap1	chr2	+	2448	266	10.5418562627
NM_001177700	Ablim2	chr5	+	3447	32	0.900648981242
NM_001177703	Gal3st1	chr11	+	1751	0	0.0
NR_033241	Bmp1	chr14	-	4454	1	0.0217819448694
NM_001177705	Homez	chr14	-	5763	127	2.13797178048
NM_001177707	Arfgap1	chr2	+	2729	270	9.5985823602
NM_001177706	Arfgap1	chr2	+	2852	274	9.32068667278
NM_001030274	Ndufs5	chr4	-	509	156	29.7340236973
NM_027715	Otud1	chr2	+	2529	64	2.45514989193
NM_027717	Dydc2	chr14	-	592	0	0.0
NM_027711	Iqgap2	chr13	-	5771	1761	29.6043240151
NM_027712	Dlgap1	chr17	+	4287	3	0.0678913802996
NM_001256180	BC107364	chr3	-	1159	0	0.0
NM_026047	Rnf219	chr14	-	3456	257	7.21450031515
NM_026046	Zfp329	chr7	-	7933	388	4.74505377409
NM_026045	Prpf18	chr2	-	3413	1119	31.8083151361
NM_026044	Wdr85	chr2	+	2952	89	2.92496396947
NM_026043	Rnpc3	chr3	-	2236	327	14.1880536049
NM_001142357	Alg12	chr15	-	2131	179	8.14922762
NM_026041	Rrp15	chr1	-	1213	120	9.5977031276
NM_026040	Srfbp1	chr18	+	1463	160	10.6101744304
NM_001130179	Tnnt2	chr1	+	1148	0	0.0
NM_026048	Cinp	chr12	-	2029	97	4.63806204902
NM_001130178	Tnnt2	chr1	+	1152	0	0.0
NM_008548	Man1a	chr10	-	3889	1013	25.2707638519
NM_008549	Man2a1	chr17	+	6078	1886	30.104253323
NM_008542	Smad6	chr9	-	2971	0	0.0
NM_001013816	Gm5622	chr14	+	1581	0	0.0
NM_008541	Smad5	chr13	+	6585	258	3.80111311642
NM_008546	Mfap2	chr4	+	1080	0	0.0
NM_001013811	Fam169b	chr7	+	2819	819	28.1861457343
NM_008545	Mageb3	chr2	-	2322	0	0.0
NM_010200	Fgf13	chrX	-	2493	373	14.5155474742
NM_176808	Mcfd2	chr17	-	2275	95	4.05125025607
NM_010202	Fgf4	chr7	+	3030	0	0.0
NM_001005331	Eif4g1	chr16	+	5396	2910	52.3200216686
NM_001033355	Zfp568	chr7	+	7176	110	1.48715803641
NM_010205	Fgf8	chr19	-	1199	0	0.0
NM_010206	Fgfr1	chr8	+	5008	0	0.0
NM_010207	Fgfr2	chr7	-	5198	0	0.0
NM_010208	Fgr	chr4	+	3342	153	4.44152235624
NM_010209	Fh1	chr1	-	1632	264	15.6938912784
NM_026295	Ctdp1	chr18	-	3685	386	10.1624092334
NM_176807	Folr4	chr9	-	1239	37	2.89719205051
NM_001085518	Gm14085	chr2	+	3740	295	7.65239326797
NM_001130177	Tnnt2	chr1	+	1161	0	0.0
NM_001130176	Tnnt2	chr1	+	1109	0	0.0
NM_001167832	Zfp764	chr7	-	2471	56	2.19868062205
NM_001081011	Srgap2	chr1	-	8040	837	10.0998814564
NM_009004	Kif20a	chr18	+	3473	869	24.275146544
NM_001167831	AI846148	chr19	-	1594	77	4.68650705678
NM_001081017	Unc79	chr12	+	8870	3	0.0328128914706
NM_033524	Spred1	chr2	+	2997	78	2.52496130496
NM_001081016	Zc3h7b	chr15	+	5958	859	13.9874817259
NM_033525	Npnt	chr3	-	3720	6	0.156478681368
NM_033522	Ferd3l	chr12	+	885	0	0.0
NM_001081014	Dennd4c	chr4	+	5648	771	13.2436153094
NM_009001	Rab3a	chr8	+	1446	23	1.54314384254
NM_009003	Rab4a	chr8	+	1412	7	0.480961386074
NM_001201470	Papss2	chr19	+	3599	2	0.0539131883568
NM_054082	Mta3	chr17	+	2115	1706	78.2556174262
NM_182930	Plekha6	chr1	+	7397	6	0.0786941590765
NM_025923	Fancl	chr11	+	1775	109	5.95765030245
NM_025922	Itpa	chr2	+	1159	134	11.2167807144
NM_025924	Upf3a	chr8	+	1401	357	24.7216212234
NM_054084	Calcb	chr7	+	962	56	5.64754658742
NM_001146329	Sbk2	chr7	-	1139	1	0.0851771575488
NM_001146328	Rbm46	chr3	-	1789	0	0.0
NM_001146325	Tigit	chr16	-	963	2744	276.4424206
NM_001146324	Hps3	chr3	-	2335	124	5.15206896084
NM_020052	Scube2	chr7	-	3562	1	0.0272366037193
NM_020050	Tmem9b	chr7	-	1685	735	42.318893234
NM_020051	Ascl3	chr7	-	706	1	0.137417538878
NM_144899	Adamtsl4	chr3	-	3856	3	0.0754798618632
NM_144898	Msto1	chr3	-	1825	122	6.48550545681
NM_144893	Slc35c2	chr2	-	2009	187	9.03043221394
NM_144892	Ncoa5	chr2	-	3091	324	10.1693424501
NM_144891	Gdap1l1	chr2	+	2580	0	0.0
NM_144890	Bpifb5	chr2	+	1637	0	0.0
NM_144897	Apoa1bp	chr3	-	905	205	21.9761772396
NM_144896	Pet112l	chr3	+	2307	41	1.72418208945
NM_144895	Spg20	chr3	+	3780	333	8.546716549
NM_144894	Zgpat	chr2	+	2289	320	13.5628529416
NM_001136055	Cd82	chr2	-	1683	3275	188.787856517
NR_024068	Snhg7	chr2	-	742	6	0.784502283947
NR_024069	2010107H07Rik	chr14	-	403	19	4.5739922246
NR_024067	Snhg6	chr1	-	407	90	21.4533425561
NM_001164792	Tpbg	chr9	+	3509	2	0.0552959717573
NM_001164793	Polr2m	chr9	-	2172	1910	85.3140213977
NM_198885	Scx	chr15	+	1136	0	0.0
NM_198884	B4galnt3	chr6	-	2961	0	0.0
NM_007668	Cdk5	chr5	-	2058	139	6.55263982521
NM_007669	Cdkn1a	chr17	+	1910	73	3.70797126634
NM_007662	Cdh15	chr8	+	2843	0	0.0
NM_007663	Cdh16	chr8	-	3003	0	0.0
NM_007661	Cdk11b	chr4	+	2589	1252	46.9158020954
NM_007666	Cdh6	chr15	-	2632	0	0.0
NM_007667	Cdh8	chr8	-	3158	0	0.0
NM_007664	Cdh2	chr18	-	4646	0	0.0
NM_007665	Cdh3	chr8	+	3231	0	0.0
NM_027332	Rpf1	chr3	-	1990	229	11.1642428043
NM_001205385	Actr3	chr1	-	2554	12008	456.138419592
NM_001205386	Actr3	chr1	-	2551	12008	456.674842664
NM_021527	Mkks	chr2	-	3194	126	3.82721183108
NM_001163456	Cox18	chr5	-	1330	66	4.8143666478
NM_027335	2210016F16Rik	chr13	-	2822	273	9.38539390799
NM_145850	Vmn1r188	chr13	+	927	0	0.0
NM_145851	Cables2	chr2	-	2945	344	11.3323508191
NM_145852	Ropn1l	chr15	-	910	1	0.106611848844
NM_145853	Tpcn1	chr5	-	4648	204	4.25805155323
NM_145856	Il17f	chr1	-	1175	0	0.0
NM_145857	Nod2	chr8	+	4621	20	0.4198951848
NM_001110159	Nxt1	chr2	+	1075	85	7.67109442613
NM_001204411	Kcnj11	chr7	-	2667	0	0.0
NM_001105245	Pcdh19	chrX	-	10294	2	0.018849190295
NM_001105246	Pcdh19	chrX	-	10150	2	0.0191166073789
NM_001168502	Zfp57	chr17	+	2088	0	0.0
NM_022021	Cables1	chr18	+	3265	70	2.07999227301
NM_022020	Rbp7	chr4	-	594	0	0.0
NM_022023	Gmfb	chr14	-	4171	1130	26.2836164388
NM_022022	Ube4b	chr4	-	5508	748	13.1751186041
NM_022025	Slc5a7	chr17	-	5180	1	0.0187291085807
NM_022024	Gmfg	chr7	+	1006	1197	115.436469772
NM_022027	Syne1	chr10	+	4823	947	19.0493246897
NM_027058	1700017D01Rik	chr19	-	1194	0	0.0
NM_027057	Wdfy1	chr1	-	717	32	4.32989824036
NM_022028	Sav1	chr12	-	2524	362	13.9144513654
NM_027055	Spaca4	chr7	-	710	0	0.0
NM_027054	Cst12	chr2	+	546	0	0.0
NM_027053	Lrrc51	chr7	-	874	0	0.0
NM_027052	Slc38a4	chr15	-	3932	0	0.0
NM_001111053	Dclk1	chr3	+	6026	0	0.0
NM_027050	1700008A04Rik	chr11	-	606	0	0.0
NM_029901	Akr1c21	chr13	+	1209	0	0.0
NM_029906	9530003J23Rik	chr10	-	1219	0	0.0
NM_029909	C330018D20Rik	chr18	-	2413	53	2.13091150839
NR_027627	Kcnk2	chr1	-	3297	0	0.0
NM_001011535	Olfr1182	chr2	-	1178	0	0.0
NM_016665	Stra13	chr11	-	636	171	26.0847009412
NM_016666	Aip	chr19	-	1347	516	37.164558087
NM_016667	Sntb1	chr15	-	2153	155	6.98448735692
NM_016660	Hmga1	chr17	+	2004	1074	51.9940241264
NM_016661	Ahcy	chr2	-	2541	588	22.4501645334
NM_016662	Mxd3	chr13	-	1299	206	15.3852634213
NM_016663	Syt3	chr7	+	2498	0	0.0
NM_016668	Bhmt	chr13	-	2071	0	0.0
NM_016669	Crym	chr7	-	1256	0	0.0
NR_045841	4933407G14Rik	chr10	+	1262	0	0.0
NR_045840	4933416M07Rik	chr8	+	1520	0	0.0
NR_045843	Gm5420	chr10	+	2206	1	0.0439785958514
NR_045842	4933417O13Rik	chr7	-	1526	0	0.0
NR_045845	Gm5547	chr3	+	459	41	8.66598710321
NR_045844	Gm17746	chr12	+	1115	0	0.0
NR_045847	D930028M14Rik	chr7	+	1006	9	0.867943381743
NR_045846	4933416M06Rik	chr13	+	1285	0	0.0
NR_045849	4933417D19Rik	chr8	+	1229	0	0.0
NR_045848	D930028M14Rik	chr7	+	904	9	0.965875046497
NM_134058	Pelo	chr13	-	1572	76	4.6903787952
NM_134059	Ddx41	chr13	-	2205	256	11.263626443
NM_134050	Rab15	chr12	-	3126	0	0.0
NM_134052	Adi1	chr12	+	1675	175	10.1360817483
NM_134054	1110002B05Rik	chr12	-	1363	260	18.5065028881
NM_170704	Cd40	chr2	+	1678	0	0.0
NM_207659	Hook3	chr8	-	12836	1038	7.84538954356
NM_207658	Defa22	chr8	+	419	0	0.0
NM_207651	Slc14a2	chr18	-	4045	0	0.0
NM_207650	Dtna	chr18	+	6321	0	0.0
NM_207653	Cflar	chr1	+	6911	1272	17.8563662674
NM_207652	Tsc22d1	chr14	+	4588	11	0.232603445277
NM_207655	Egfr	chr11	+	5965	0	0.0
NM_207654	Efna5	chr17	-	5259	3	0.0553432871923
NM_207657	5031410I06Rik	chr5	-	2947	0	0.0
NM_170702	Cd40	chr2	+	1596	0	0.0
NM_170703	Cd40	chr2	+	1621	0	0.0
NM_010582	Itih2	chr2	-	3122	0	0.0
NM_029274	Wbp7	chr7	-	8457	1118	12.8254419743
NM_029277	Arhgap12	chr18	-	4957	298	5.83235851715
NM_029271	Mrpl32	chr13	-	768	283	35.7496737406
NM_029270	Arhgap24	chr5	+	3346	0	0.0
NM_029272	Ndufs7	chr10	+	758	174	22.2703432005
NM_029279	Secisbp2	chr13	+	2913	350	11.6566679907
NM_029278	Nop14	chr5	-	2702	502	18.0245835636
NM_021042	Abcc9	chr6	-	7433	11	0.1435738742
NM_021041	Abcc9	chr6	-	7538	11	0.141573972795
NM_021600	Chrnd	chr1	+	2910	0	0.0
NM_133208	Zfp287	chr11	-	5021	432	8.34719179797
NM_133209	Pilrb1	chr5	-	1020	1	0.0951144925962
NM_001243938	Gm3139	chr5	+	2024	0	0.0
NM_133200	P2ry14	chr3	-	1798	11	0.593539825878
NM_133201	Mfn2	chr4	-	4377	369	8.17893368137
NM_133202	Trhr2	chr8	-	1340	0	0.0
NM_133203	Klra17	chr6	-	1177	0	0.0
NM_133204	Zscan5b	chr7	+	1969	0	0.0
NM_133205	Arr3	chrX	+	1359	0	0.0
NM_133206	Znrf1	chr8	+	5562	184	3.20947284618
NM_133207	Kcnh7	chr2	-	3798	0	0.0
NM_146868	Olfr894	chr9	+	949	0	0.0
NM_146869	Olfr147	chr9	+	1175	0	0.0
NM_001193631	Prss51	chr14	+	959	0	0.0
NM_001042527	Blm	chr7	-	4598	435	9.17840373313
NM_001042523	Txnrd1	chr10	+	3634	1024	27.3376954394
NM_001042528	Cacna1b	chr2	-	6984	0	0.0
NM_207205	Igsf3	chr3	+	7330	7	0.0926490419013
NM_207208	Clca6	chr3	-	2998	0	0.0
NM_207209	Sec24b	chr3	-	4702	1192	24.5946415734
NR_040428	Gm19619	chr5	-	2856	4	0.135877846566
NR_040429	Gm15408	chr5	+	1379	0	0.0
NM_145139	Eif3l	chr15	+	1893	1299	66.5741153725
NM_145138	Nek9	chr12	-	5386	899	16.1934807688
NM_145137	Mgl2	chr11	+	1550	8	0.500731780377
NM_145136	Myocd	chr11	-	5118	0	0.0
NM_145135	Rnh1	chr7	-	1803	306	16.4654106651
NR_040427	Gm9899	chr5	-	4823	0	0.0
NR_040420	Gm6568	chrX	+	1061	30	2.7431700975
NR_040421	Gm15401	chr6	+	1464	5	0.33134147011
NM_145131	Pitrm1	chr13	+	3534	382	10.4868168917
NR_040423	2610037D02Rik	chr15	-	3631	10	0.267190257362
NM_001113364	Tbc1d14	chr5	-	3885	428	10.6880779634
NM_001113367	Boll	chr1	-	1087	2	0.178503739555
NM_001113360	Plch2	chr4	-	5053	0	0.0
NM_001113362	Tbc1d14	chr5	-	4771	545	11.0824033608
NM_172647	F11r	chr1	+	2482	4	0.156352590569
NM_172646	Dnm3	chr1	-	4590	9	0.190228985192
NM_172645	AI848100	chr1	-	6308	1328	20.4245857785
NM_172644	Dars2	chr1	-	3581	110	2.9801301506
NM_001113369	Ceacam2	chr7	-	3287	2	0.0590305947357
NM_001113368	Ceacam2	chr7	-	3827	2	0.0507012189434
NM_172641	9930023K05Rik	chr19	+	2385	2	0.0813557924093
NM_001195760	S100a2	chr3	+	315	3	0.923969356649
NM_001013380	Dync1li2	chr8	-	4633	674	14.1138163976
NM_178281	Trim39	chr17	-	3070	339	10.7129280944
NM_008756	Ocln	chr13	-	3192	0	0.0
NM_001039485	Fam38b	chr18	-	10724	0	0.0
NM_001039484	Kcnj10	chr1	+	5407	106	1.90193803209
NM_001039483	Tmco1	chr1	+	4474	464	10.0616421672
NM_001039482	Klhl20	chr1	-	4037	828	19.8984136406
NM_001039488	4933421E11Rik	chr3	+	3359	931	26.8897363677
NM_001081080	Phf3	chr1	-	7561	2953	37.8905645509
NM_001081081	Gls	chr1	-	4973	568	11.0809435814
NM_001081082	Alpi	chr1	-	2337	0	0.0
NM_001081083	Armc3	chr2	+	2995	119	3.85475696538
NR_028354	Mvd	chr8	-	1864	59	3.07081017406
NM_025379	Cox7b	chrX	+	1001	534	51.7552066207
NM_178641	Inpp5f	chr7	+	4740	253	5.17832193236
NM_178640	B3galnt2	chr13	+	3681	201	5.2975749177
NM_178643	C230052I12Rik	chr7	-	1788	198	10.7434691973
NM_178642	Ano1	chr7	-	4601	0	0.0
NM_178645	Blmh	chr11	+	2355	590	24.3056907195
NM_178644	Oaf	chr9	-	2388	3	0.12188037996
NM_178647	Cggbp1	chr16	+	4320	1533	34.427483216
NM_178646	Tigd5	chr15	+	4801	5	0.10103809878
NM_213614	Sept5	chr16	-	2127	19	0.866628522103
NM_213615	A530032D15Rik	chr1	-	1760	16	0.881970749528
NM_213616	Atp2b4	chr1	-	8101	2347	28.1074420943
NM_177420	Psat1	chr19	-	2172	630	28.1402269532
NM_080470	Smc1b	chr15	-	4040	0	0.0
NM_080471	Ankrd6	chr4	-	4573	5	0.106075642301
NM_001162945	Mtx3	chr13	+	6275	105	1.62338839156
NM_001162944	Gm10318	chr10	+	930	0	0.0
NM_001162947	Nek3	chr8	-	1989	41	1.99984317766
NM_001162946	Pcx	chr19	+	4148	6	0.140332857929
NM_001162941	Mapre2	chr18	+	3993	1263	30.686750872
NM_177429	Ofd1	chrX	-	4453	398	8.67116088353
NM_001162943	Dchs1	chr7	-	10651	0	0.0
NM_001162942	Mapre2	chr18	+	3936	1261	31.0818502711
NM_145392	Bag2	chr1	-	1815	17	0.908697135878
NM_025375	Wbscr22	chr5	-	1516	145	9.27930966687
NM_174885	Adam6a	chr12	+	2507	0	0.0
NM_178397	Faf2	chr13	+	4322	645	14.4784416194
NM_178396	Car12	chr9	+	3716	10	0.261078531884
NM_178395	Zdhhc2	chr8	+	2498	578	22.448238693
NM_178394	Jakmip1	chr5	+	2382	455	18.5317531544
NM_178392	Snapc1	chr12	+	2125	249	11.3680841551
NM_178391	Setmar	chr6	+	1609	28	1.68829702209
NM_178390	Fam53a	chr5	-	2003	186	9.00904719688
NM_178399	3110035E14Rik	chr1	+	3187	0	0.0
NM_178398	Wipi2	chr5	+	3911	238	5.90385942793
NR_045108	Patz1	chr11	+	2054	106	5.00670834445
NR_045109	Patz1	chr11	+	1889	103	5.28995690426
NR_045100	Gm12159	chr11	-	1447	0	0.0
NR_045101	Gm11985	chr11	-	1003	0	0.0
NM_145390	Tnpo2	chr8	+	4865	386	7.69752888489
NM_008173	Nr3c1	chr18	-	6329	1064	16.3099789105
NM_008172	Grin2d	chr7	-	4383	6	0.132808737095
NM_008171	Grin2b	chr6	-	7505	0	0.0
NM_008170	Grin2a	chr16	-	4512	0	0.0
NM_008177	Grpr	chrX	-	2493	0	0.0
NM_008176	Cxcl1	chr5	+	949	0	0.0
NM_008175	Grn	chr11	+	2333	206	8.56641971038
NM_008174	Grm8	chr6	-	3678	0	0.0
NM_008179	Gspt2	chrX	+	2493	8	0.311325414996
NM_008178	Gsx1	chr5	+	1772	0	0.0
NM_177282	Mical2	chr7	+	6689	392	5.68554024812
NM_177284	Nrxn1	chr17	-	9004	0	0.0
NM_177289	Cbfa2t3	chr8	-	7591	10	0.127805009153
NM_025594	Zmat2	chr18	+	2257	1114	47.8851110533
NM_025595	Mrpl51	chr6	+	1515	277	17.7383820054
NM_025596	Prelid1	chr13	+	1089	1578	140.580792198
NM_025597	Ndufb3	chr1	+	532	148	26.9896312074
NM_025590	Acot11	chr4	-	5668	186	3.18368410998
NM_025591	Fam136a	chr6	+	1606	112	6.76580301008
NM_025592	Rpl35	chr2	-	452	3575	767.334064717
NM_025593	Polr2l	chr7	-	1671	110	6.38650273447
NM_025598	Ppdpf	chr2	+	797	272	33.1098680375
NM_025599	2610528E23Rik	chr16	-	1171	28	2.31978642916
NM_029796	Lrg1	chr17	-	1353	1	0.071704938986
NM_153808	Smc5	chr19	-	5730	1159	19.623464373
NM_153800	Arhgap22	chr14	+	2598	0	0.0
NM_153801	Tecrl	chr5	-	2373	0	0.0
NM_153802	Zfp128	chr7	+	3833	24	0.607462243348
NM_153803	Glb1l2	chr9	-	3686	0	0.0
NM_153804	Plekhg3	chr12	+	4955	285	5.58017820337
NM_153805	Pkn3	chr2	+	2931	11	0.364102561218
NM_153806	Dnttip2	chr3	+	2403	867	35.0035582116
NM_153807	Acsf2	chr11	-	3069	299	9.45194459172
NM_177396	Il28b	chr7	+	582	0	0.0
NM_177397	Atp6v1g3	chr1	+	1887	2	0.102826478482
NM_024171	Sec61b	chr4	+	552	365	64.1505898434
NM_024170	Cxx1a	chrX	-	1275	82	6.23951071431
NM_024173	Atp6v1g1	chr4	+	1093	300	26.6285770672
NM_024172	Hspbp1	chr7	-	1488	62	4.04236593534
NM_024175	Rps23	chr13	+	555	2929	512.003884307
NM_024174	Mrps23	chr11	+	1302	284	21.1618788136
NM_024177	Mrpl38	chr11	-	1411	118	8.11338081423
NM_024176	Drap1	chr19	-	916	505	53.486326568
NM_024179	0610009O20Rik	chr18	+	2404	251	10.1294560709
NM_001253703	St7l	chr3	+	5490	163	2.88046184682
NM_001253700	Rai12	chr11	-	954	104	10.5762530132
NM_177395	Map3k9	chr12	-	3390	0	0.0
NM_001253706	Sept6	chrX	-	4714	5219	107.40996767
NM_001253704	Wibg	chr10	+	1220	295	23.4589760838
NM_001253705	Wibg	chr10	+	1324	300	21.9826546333
NM_001122978	Casp8ap2	chr4	+	6557	1069	15.8168278843
NM_001122977	Gm7168	chr17	+	1603	0	0.0
NM_010460	Hoxb7	chr11	+	1269	0	0.0
NM_010461	Hoxb8	chr11	+	2645	0	0.0
NM_010462	Hoxc10	chr15	+	1913	0	0.0
NM_010463	Hoxc12	chr15	+	843	0	0.0
NM_010464	Hoxc13	chr15	+	2433	0	0.0
NM_010465	Hoxc6	chr15	+	1592	0	0.0
NM_010466	Hoxc8	chr15	+	2369	0	0.0
NM_010467	Hoxd1	chr2	+	1862	0	0.0
NM_010468	Hoxd3	chr2	+	2902	0	0.0
